en,pt,fr,es,id,vi,it,ru
Underlying asset ,Ativo subjacente,Actif sous-jacent ,Activo subyacente,Aset dasar,Underlying asset ,Asset sottostante,Базовый актив
Up/Down,Acima/Abaixo,Hausse/Baisse,Arriba/Abajo,Up/Down,Up/Down,Alto/Basso,Вверх/Вниз
In/Out,Dentro/Fora,In/Out,Dentro/Fuera,In/Out,In/Out,Dentro/Fuori,Внутри/Вне
Digits,Dígitos,Chiffres,Dígitos,Digit,Digits,Cifre,Цифровые
Reset Call/Reset Put,Redefinir Compra/Redefinir Venda,Reset Call/Reset Put,Reset Call/Reset Put,Reset Call/Reset Put,Reset Call/Reset Put,Reset Call/Reset Put,Reset Колл/Reset Пут
High/Low Ticks,Ticks Superior/Inferior,Ticks Haut/Bas,Ticks altos/bajos,High/Low Tik,High/Low Ticks,Tick alti/bassi,Высокий/Низкий тик
Touch/No Touch,Toca/Não Toca,Touche/Ne Touche Pas,Toca/No Toca,Touch/No Touch,Touch/No Touch,Tocca/Non tocca,Касание/Нет касания
Trading platform,Plataforma de negociação,Plateforme de trading,Plataforma de operaciones,Platform trading,Trading platform,Piattaforma di trading,Торговая платформа
Market,Mercado,Marché,Mercado,Pasar,Market,Mercato,Рынок
Stock indices,Índices de ações,Indices boursiers,Índices bursátiles,Indeks saham,Stock indices,Indizi azionari,Фондовые индексы
Trade type,Tipo de negociação,Type de trade,Tipo de operación,Jenis kontrak,Trade type,Tipi di trade,Тип контракта
Mobile trading,Negociação pelo celular,Trading par téléphone,Trading con móvil,Trading seluler,Mobile trading,Trading mobile,Мобильный трейдинг
Point,Ponto,Point,Punto,Poin,Point,Punto,Пункт
Fundamental analysis,Análise fundamental,Analyse fondamentale,Análisis fundamental,Analisis fundamental,Fundamental analysis,Analisi fondamentale,Фундаментальный анализ
Technical analysis,Análise técnica,Analyse technique,Anáisis técnico,Analisis teknikal,Technical analysis,Analisi tecnico,Технический анализ
Day trading,Day trade,Trading de jour,Operaciones diurnas,Trading harian,Day trading,Trading giornaliero,Дей-трейдинг
Intraday,Intraday,Intrajournalier,Intradía,Intraday,Intraday,Infragiornaliero,Внутридневной (m)  / Внутридневная (f) / Внутридневное (ng)
Automated trading,Negociação automatizada,Trading automatisé,Operaciones automatizadas,Trading otomatis,Automated trading,Trading automatizzato,Автоматический трейдинг
Trade,Operar,Trade,Operar (v) / Operación (n),Trading,Trade,Trade (n) / Far trading (v),Торговля (n) / Контракт (n - meaning contract) / Торговать (v)
Broker,Broker,Broker,Bróker,Broker,Broker,Broker,Брокер
Contract,Contrato,Contrat,Contrato,Kontrak,Contract,Contratto,Контракт
Market price,Preço de mercado,Prix de marché,Precio de mercado,Harga pasar,Market price,Prezzo di mercato,Рыночная цена
Altcoin,Altcoin,Altcoin,Altcoin,Altcoin,Altcoin,Altcoin,Альткоин
All-time low (ATL),All-time low (ATL),All-time low (ATL),Mínimo histórico (ATL),Terendah sepanjang masa (ATL),All-time low (ATL),Minimo storico (ATL),Исторический минимум (ATL)
All-time high (ATH),All-time high (ATH),All-time high (ATH),Máximo histórico (ATH),Tertinggi sepanjang masa (ATH),All-time high (ATH),Massimo storico (ATH),Исторический максимум (ATH)
Virtual funds,Fundos virtuais,Fonds virtuels,Fondos virtuales,Dana virtual,Virtual funds,Fondi virtuali,Виртуальные средства
Payment methods,Métodos de pagamentos,Méthodes de paiement,Métodos de pago,Metode pembayaran,Payment methods,Metodi di pagamento,Платежные методы
Blockchain,Blockchain,Blockchain,Blockchain,Blockchain,Blockchain,Blockchain,Блокчейн
Verification,Verificação,Vérification,Verificación,Verifikasi,Verification,Verificazione,Верификация
Deal cancellation,Cancelamento da transação,Deal cancellation,Cancelación del contrato,Pembatalan transaksi,Deal cancellation,Cancellazione,Отмена сделки
Non-refundable fee,Taxa não reembolsável,Frais non remboursables,Tarifa no reembolsable,Biaya yang tidak dapat dikembalikan,Non-refundable fee,Tassa non rimborsabile,Невозвратный сбор
Loss,Perda,Perte,Pérdida,Rugi,Loss,Perdita,Убыток
Net loss,Perda líquida,Perte nette,Pérdida neta,Kerugian bersih,Net loss,Perdita netta,Чистый убыток
Volatile,Volátil,Volatile,Volátil,Fluktuatif,Volatile,Volatilità,Волатильный (m) / Волатильная (f) / Волатильное (ng)
Liquidity,Liquidez,Liquidité,Liquidez,Liquiditas,Liquidity,Liquidità,Ликвидность
Payment agent,Agente de pagamento,Agent de paiement,Agente de pago,Agen pembayaran,Payment agent,Agente di pagamento,Платежный агент
Weighted,Ponderado,Pondéré,Ponderada,Bobot,Weighted,Ponderata,Взвешенный (m) / Взвешенная (f) / Взвешенное (ng)
Downtrend,Downtrend,Tendance à la baisse,Tendencia a la baja,Trend menurun,Downtrend,Tendenza al ribasso,Нисходящий тренд
Flip,Flipagem,Flipping,Cambiar,Membalik,Flip,Flip,Кувырок / Флип
Resistance level,Level de resistência,Niveau de résistance,Nivel de resistencia,Tingkat resistensi,Resistance level,Livello di resistenza,Уровень сопротивления
Scalping,Scalping,Scalping,Scalping,Scalping,Scalping,Scalping,Скальпинг
Position trading,Position trade,Position trading,Position trading,Trading posisi,Position trading,Position trading,Позиционный трейдинг
Swing trading,Swing trade,Swing trading,Swing trading,Trading swing,Swing trading,Swing trading,Свинг трейдинг
Volatility,Volatilidade,Volatilité,Volatilidad,Volatilitas,Volatility,Volatilità,Волатильность
Trading plan,Plano de negociação,Plan de trading,Plan de operaciones,Rencana trading,Trading plan,Piano di trading,Торговый план
